"Country","Indicator","Measure","Inequality","Unit","PowerCode","Reference Period","Value","Flags"
"Brazil","Employment rate","Value","Total","Percentage","Units",,57,
"Chile","Employment rate","Value","Total","Percentage","Units",,56,
"Estonia","Employment rate","Value","Total","Percentage","Units",,74,
"Israel","Employment rate","Value","Total","Percentage","Units",,67,
"Latvia","Employment rate","Value","Total","Percentage","Units",,72,
"Russia","Employment rate","Value","Total","Percentage","Units",,70,
"Slovenia","Employment rate","Value","Total","Percentage","Units",,71,
"South Africa","Employment rate","Value","Total","Percentage","Units",,39,
"OECD - Total","Employment rate","Value","Total","Percentage","Units",,66,
"Australia","Employment rate","Value","Men","Percentage","Units",,77,
"Austria","Employment rate","Value","Men","Percentage","Units",,76,
"Belgium","Employment rate","Value","Men","Percentage","Units",,68,
"Canada","Employment rate","Value","Men","Percentage","Units",,73,
"Czech Republic","Employment rate","Value","Men","Percentage","Units",,81,
"Denmark","Employment rate","Value","Men","Percentage","Units",,77,
"Finland","Employment rate","Value","Men","Percentage","Units",,74,
"France","Employment rate","Value","Men","Percentage","Units",,68,
"Germany","Employment rate","Value","Men","Percentage","Units",,80,
"Greece","Employment rate","Value","Men","Percentage","Units",,65,
"Hungary","Employment rate","Value","Men","Percentage","Units",,77,
"Iceland","Employment rate","Value","Men","Percentage","Units",,80,
"Ireland","Employment rate","Value","Men","Percentage","Units",,73,
"Italy","Employment rate","Value","Men","Percentage","Units",,67,
"Japan","Employment rate","Value","Men","Percentage","Units",,84,
"Korea","Employment rate","Value","Men","Percentage","Units",,75,
"Luxembourg","Employment rate","Value","Men","Percentage","Units",,70,
"Mexico","Employment rate","Value","Men","Percentage","Units",,76,
"Netherlands","Employment rate","Value","Men","Percentage","Units",,82,
"New Zealand","Employment rate","Value","Men","Percentage","Units",,81,
"Norway","Employment rate","Value","Men","Percentage","Units",,77,
"Poland","Employment rate","Value","Men","Percentage","Units",,76,
"Portugal","Employment rate","Value","Men","Percentage","Units",,72,
"Slovak Republic","Employment rate","Value","Men","Percentage","Units",,73,
"Spain","Employment rate","Value","Men","Percentage","Units",,67,
"Sweden","Employment rate","Value","Men","Percentage","Units",,77,
"Switzerland","Employment rate","Value","Men","Percentage","Units",,84,
"Türkiye","Employment rate","Value","Men","Percentage","Units",,65,
"United Kingdom","Employment rate","Value","Men","Percentage","Units",,79,
"United States","Employment rate","Value","Men","Percentage","Units",,72,
"Brazil","Employment rate","Value","Men","Percentage","Units",,67,
"Chile","Employment rate","Value","Men","Percentage","Units",,65,
"Estonia","Employment rate","Value","Men","Percentage","Units",,76,
"Israel","Employment rate","Value","Men","Percentage","Units",,69,
"Latvia","Employment rate","Value","Men","Percentage","Units",,73,
"Russia","Employment rate","Value","Men","Percentage","Units",,75,
"Slovenia","Employment rate","Value","Men","Percentage","Units",,74,
"South Africa","Employment rate","Value","Men","Percentage","Units",,44,
"OECD - Total","Employment rate","Value","Men","Percentage","Units",,74,
"Australia","Employment rate","Value","Women","Percentage","Units",,69,
"Austria","Employment rate","Value","Women","Percentage","Units",,68,
"Belgium","Employment rate","Value","Women","Percentage","Units",,61,
"Canada","Employment rate","Value","Women","Percentage","Units",,67,
"Czech Republic","Employment rate","Value","Women","Percentage","Units",,67,
"Denmark","Employment rate","Value","Women","Percentage","Units",,71,
"Finland","Employment rate","Value","Women","Percentage","Units",,71,
"France","Employment rate","Value","Women","Percentage","Units",,62,
"Germany","Employment rate","Value","Women","Percentage","Units",,73,
"Greece","Employment rate","Value","Women","Percentage","Units",,47,
"Hungary","Employment rate","Value","Women","Percentage","Units",,62,
"Iceland","Employment rate","Value","Women","Percentage","Units",,75,
"Ireland","Employment rate","Value","Women","Percentage","Units",,63,
"Italy","Employment rate","Value","Women","Percentage","Units",,49,
"Japan","Employment rate","Value","Women","Percentage","Units",,71,
"Korea","Employment rate","Value","Women","Percentage","Units",,57,
"Luxembourg","Employment rate","Value","Women","Percentage","Units",,64,
"Mexico","Employment rate","Value","Women","Percentage","Units",,45,
"Netherlands","Employment rate","Value","Women","Percentage","Units",,74,
"New Zealand","Employment rate","Value","Women","Percentage","Units",,72,
"Norway","Employment rate","Value","Women","Percentage","Units",,73,
"Poland","Employment rate","Value","Women","Percentage","Units",,61,
"Portugal","Employment rate","Value","Women","Percentage","Units",,67,
"Slovak Republic","Employment rate","Value","Women","Percentage","Units",,62,
"Spain","Employment rate","Value","Women","Percentage","Units",,57,
"Sweden","Employment rate","Value","Women","Percentage","Units",,74,
"Switzerland","Employment rate","Value","Women","Percentage","Units",,76,
"Türkiye","Employment rate","Value","Women","Percentage","Units",,30,
"United Kingdom","Employment rate","Value","Women","Percentage","Units",,72,
"United States","Employment rate","Value","Women","Percentage","Units",,62,
"Brazil","Employment rate","Value","Women","Percentage","Units",,47,
"Chile","Employment rate","Value","Women","Percentage","Units",,47,
"Estonia","Employment rate","Value","Women","Percentage","Units",,72,
"Israel","Employment rate","Value","Women","Percentage","Units",,65,
"Latvia","Employment rate","Value","Women","Percentage","Units",,70,
"Russia","Employment rate","Value","Women","Percentage","Units",,65,
"Slovenia","Employment rate","Value","Women","Percentage","Units",,68,
"South Africa","Employment rate","Value","Women","Percentage","Units",,33,
"OECD - Total","Employment rate","Value","Women","Percentage","Units",,59,
"Australia","Long-term unemployment rate","Value","Total","Percentage","Units",,1,
"Austria","Long-term unemployment rate","Value","Total","Percentage","Units",,1.3,
"Belgium","Long-term unemployment rate","Value","Total","Percentage","Units",,2.3,
"Canada","Long-term unemployment rate","Value","Total","Percentage","Units",,0.5,
"Czech Republic","Long-term unemployment rate","Value","Total","Percentage","Units",,0.6,
"Denmark","Long-term unemployment rate","Value","Total","Percentage","Units",,0.9,
"Finland","Long-term unemployment rate","Value","Total","Percentage","Units",,1.2,
"France","Long-term unemployment rate","Value","Total","Percentage","Units",,2.9,
"Germany","Long-term unemployment rate","Value","Total","Percentage","Units",,1.2,
"Greece","Long-term unemployment rate","Value","Total","Percentage","Units",,10.8,
"Hungary","Long-term unemployment rate","Value","Total","Percentage","Units",,1.2,
"Iceland","Long-term unemployment rate","Value","Total","Percentage","Units",,0.7,
"Ireland","Long-term unemployment rate","Value","Total","Percentage","Units",,1.2,
"Italy","Long-term unemployment rate","Value","Total","Percentage","Units",,4.8,
"Japan","Long-term unemployment rate","Value","Total","Percentage","Units",,0.8,
"Korea","Long-term unemployment rate","Value","Total","Percentage","Units",,0,
"Luxembourg","Long-term unemployment rate","Value","Total","Percentage","Units",,1.7,
"Mexico","Long-term unemployment rate","Value","Total","Percentage","Units",,0.1,
"Netherlands","Long-term unemployment rate","Value","Total","Percentage","Units",,0.9,
"New Zealand","Long-term unemployment rate","Value","Total","Percentage","Units",,0.4,
"Norway","Long-term unemployment rate","Value","Total","Percentage","Units",,0.9,
"Poland","Long-term unemployment rate","Value","Total","Percentage","Units",,0.6,
"Portugal","Long-term unemployment rate","Value","Total","Percentage","Units",,2.3,
"Slovak Republic","Long-term unemployment rate","Value","Total","Percentage","Units",,3,
"Spain","Long-term unemployment rate","Value","Total","Percentage","Units",,5,
"Sweden","Long-term unemployment rate","Value","Total","Percentage","Units",,1,
"Switzerland","Long-term unemployment rate","Value","Total","Percentage","Units",,1.7,
"Türkiye","Long-term unemployment rate","Value","Total","Percentage","Units",,3.3,
"United Kingdom","Long-term unemployment rate","Value","Total","Percentage","Units",,0.9,
"United States","Long-term unemployment rate","Value","Total","Percentage","Units",,0.5,
"Estonia","Long-term unemployment rate","Value","Total","Percentage","Units",,1.2,
"Israel","Long-term unemployment rate","Value","Total","Percentage","Units",,0.2,
"Latvia","Long-term unemployment rate","Value","Total","Percentage","Units",,2.2,
"Russia","Long-term unemployment rate","Value","Total","Percentage","Units",,1.1,
"Slovenia","Long-term unemployment rate","Value","Total","Percentage","Units",,1.9,
"South Africa","Long-term unemployment rate","Value","Total","Percentage","Units",,17.9,
"OECD - Total","Long-term unemployment rate","Value","Total","Percentage","Units",,1.3,
"Australia","Long-term unemployment rate","Value","Men","Percentage","Units",,1,
"Austria","Long-term unemployment rate","Value","Men","Percentage","Units",,1.5,
"Belgium","Long-term unemployment rate","Value","Men","Percentage","Units",,2.5,
"Canada","Long-term unemployment rate","Value","Men","Percentage","Units",,0.6,
"Czech Republic","Long-term unemployment rate","Value","Men","Percentage","Units",,0.5,
"Denmark","Long-term unemployment rate","Value","Men","Percentage","Units",,0.7,
"Finland","Long-term unemployment rate","Value","Men","Percentage","Units",,1.3,
"France","Long-term unemployment rate","Value","Men","Percentage","Units",,3,
"Germany","Long-term unemployment rate","Value","Men","Percentage","Units",,1.4,
"Greece","Long-term unemployment rate","Value","Men","Percentage","Units",,8.8,
"Hungary","Long-term unemployment rate","Value","Men","Percentage","Units",,1.2,
"Iceland","Long-term unemployment rate","Value","Men","Percentage","Units",,0.8,
"Ireland","Long-term unemployment rate","Value","Men","Percentage","Units",,1.3,
"Italy","Long-term unemployment rate","Value","Men","Percentage","Units",,4.4,
"Japan","Long-term unemployment rate","Value","Men","Percentage","Units",,1,
"Korea","Long-term unemployment rate","Value","Men","Percentage","Units",,0,
"Luxembourg","Long-term unemployment rate","Value","Men","Percentage","Units",,1.6,
"Mexico","Long-term unemployment rate","Value","Men","Percentage","Units",,0.1,
"Netherlands","Long-term unemployment rate","Value","Men","Percentage","Units",,0.9,
"New Zealand","Long-term unemployment rate","Value","Men","Percentage","Units",,0.4,
"Norway","Long-term unemployment rate","Value","Men","Percentage","Units",,1,
"Poland","Long-term unemployment rate","Value","Men","Percentage","Units",,0.6,
"Portugal","Long-term unemployment rate","Value","Men","Percentage","Units",,2.2,
"Slovak Republic","Long-term unemployment rate","Value","Men","Percentage","Units",,3,
"Spain","Long-term unemployment rate","Value","Men","Percentage","Units",,4.1,
"Sweden","Long-term unemployment rate","Value","Men","Percentage","Units",,1,
"Switzerland","Long-term unemployment rate","Value","Men","Percentage","Units",,1.6,
"Türkiye","Long-term unemployment rate","Value","Men","Percentage","Units",,2.5,
"United Kingdom","Long-term unemployment rate","Value","Men","Percentage","Units",,1.1,
"United States","Long-term unemployment rate","Value","Men","Percentage","Units",,0.5,
"Estonia","Long-term unemployment rate","Value","Men","Percentage","Units",,1.3,
"Israel","Long-term unemployment rate","Value","Men","Percentage","Units",,0.2,
"Latvia","Long-term unemployment rate","Value","Men","Percentage","Units",,2.7,
"Russia","Long-term unemployment rate","Value","Men","Percentage","Units",,1.1,
"Slovenia","Long-term unemployment rate","Value","Men","Percentage","Units",,1.5,
"South Africa","Long-term unemployment rate","Value","Men","Percentage","Units",,15.7,
"OECD - Total","Long-term unemployment rate","Value","Men","Percentage","Units",,1.3,
"Australia","Long-term unemployment rate","Value","Women","Percentage","Units",,1.1,
"Austria","Long-term unemployment rate","Value","Women","Percentage","Units",,1.2,
"Belgium","Long-term unemployment rate","Value","Women","Percentage","Units",,2.1,
"Canada","Long-term unemployment rate","Value","Women","Percentage","Units",,0.4,
"Czech Republic","Long-term unemployment rate","Value","Women","Percentage","Units",,0.6,
"Denmark","Long-term unemployment rate","Value","Women","Percentage","Units",,1.2,
"Finland","Long-term unemployment rate","Value","Women","Percentage","Units",,1.1,
"France","Long-term unemployment rate","Value","Women","Percentage","Units",,2.9,
"Germany","Long-term unemployment rate","Value","Women","Percentage","Units",,1,
"Greece","Long-term unemployment rate","Value","Women","Percentage","Units",,13.4,
"Hungary","Long-term unemployment rate","Value","Women","Percentage","Units",,1.1,
"Iceland","Long-term unemployment rate","Value","Women","Percentage","Units",,0.5,
"Ireland","Long-term unemployment rate","Value","Women","Percentage","Units",,1,
"Italy","Long-term unemployment rate","Value","Women","Percentage","Units",,5.3,
"Japan","Long-term unemployment rate","Value","Women","Percentage","Units",,0.5,
"Korea","Long-term unemployment rate","Value","Women","Percentage","Units",,0,
"Luxembourg","Long-term unemployment rate","Value","Women","Percentage","Units",,1.9,
"Mexico","Long-term unemployment rate","Value","Women","Percentage","Units",,0.1,
"Netherlands","Long-term unemployment rate","Value","Women","Percentage","Units",,1,
"New Zealand","Long-term unemployment rate","Value","Women","Percentage","Units",,0.4,
"Norway","Long-term unemployment rate","Value","Women","Percentage","Units",,0.8,
"Poland","Long-term unemployment rate","Value","Women","Percentage","Units",,0.7,
"Portugal","Long-term unemployment rate","Value","Women","Percentage","Units",,2.4,
"Slovak Republic","Long-term unemployment rate","Value","Women","Percentage","Units",,3,
"Spain","Long-term unemployment rate","Value","Women","Percentage","Units",,6.1,
"Sweden","Long-term unemployment rate","Value","Women","Percentage","Units",,1,
"Switzerland","Long-term unemployment rate","Value","Women","Percentage","Units",,1.8,
"Türkiye","Long-term unemployment rate","Value","Women","Percentage","Units",,4.9,
"United Kingdom","Long-term unemployment rate","Value","Women","Percentage","Units",,0.7,
"United States","Long-term unemployment rate","Value","Women","Percentage","Units",,0.4,
"Estonia","Long-term unemployment rate","Value","Women","Percentage","Units",,1,
"Israel","Long-term unemployment rate","Value","Women","Percentage","Units",,0.2,
"Latvia","Long-term unemployment rate","Value","Women","Percentage","Units",,1.7,
"Russia","Long-term unemployment rate","Value","Women","Percentage","Units",,1.1,
"Slovenia","Long-term unemployment rate","Value","Women","Percentage","Units",,2.4,
"South Africa","Long-term unemployment rate","Value","Women","Percentage","Units",,20.8,
"OECD - Total","Long-term unemployment rate","Value","Women","Percentage","Units",,1.4,
"Australia","Personal earnings","Value","Total","US Dollar","Units",,55206,
"Austria","Personal earnings","Value","Total","US Dollar","Units",,53132,
"Belgium","Personal earnings","Value","Total","US Dollar","Units",,54327,
"Canada","Personal earnings","Value","Total","US Dollar","Units",,55342,
"Czech Republic","Personal earnings","Value","Total","US Dollar","Units",,29885,
"Denmark","Personal earnings","Value","Total","US Dollar","Units",,58430,
"Finland","Personal earnings","Value","Total","US Dollar","Units",,46230,
"France","Personal earnings","Value","Total","US Dollar","Units",,45581,
"Germany","Personal earnings","Value","Total","US Dollar","Units",,53745,
"Greece","Personal earnings","Value","Total","US Dollar","Units",,27207,
"Hungary","Personal earnings","Value","Total","US Dollar","Units",,25409,
"Iceland","Personal earnings","Value","Total","US Dollar","Units",,67488,
"Ireland","Personal earnings","Value","Total","US Dollar","Units",,49474,
"Italy","Personal earnings","Value","Total","US Dollar","Units",,37769,
"Japan","Personal earnings","Value","Total","US Dollar","Units",,38515,
"Korea","Personal earnings","Value","Total","US Dollar","Units",,41960,
"Luxembourg","Personal earnings","Value","Total","US Dollar","Units",,65854,
"Mexico","Personal earnings","Value","Total","US Dollar","Units",,16230,
"Netherlands","Personal earnings","Value","Total","US Dollar","Units",,58828,
"New Zealand","Personal earnings","Value","Total","US Dollar","Units",,45269,
"Norway","Personal earnings","Value","Total","US Dollar","Units",,55780,
"Poland","Personal earnings","Value","Total","US Dollar","Units",,32527,
"Portugal","Personal earnings","Value","Total","US Dollar","Units",,28410,
"Slovak Republic","Personal earnings","Value","Total","US Dollar","Units",,23619,
"Spain","Personal earnings","Value","Total","US Dollar","Units",,37922,
"Sweden","Personal earnings","Value","Total","US Dollar","Units",,47020,
"Switzerland","Personal earnings","Value","Total","US Dollar","Units",,64824,
"United Kingdom","Personal earnings","Value","Total","US Dollar","Units",,47147,
"United States","Personal earnings","Value","Total","US Dollar","Units",,69392,
"Chile","Personal earnings","Value","Total","US Dollar","Units",,26729,
"Estonia","Personal earnings","Value","Total","US Dollar","Units",,30720,
"Israel","Personal earnings","Value","Total","US Dollar","Units",,39322,
"Latvia","Personal earnings","Value","Total","US Dollar","Units",,29876,
"Slovenia","Personal earnings","Value","Total","US Dollar","Units",,41445,
"OECD - Total","Personal earnings","Value","Total","US Dollar","Units",,49165,
"Australia","Quality of support network","Value","Total","Percentage","Units",,93,
"Austria","Quality of support network","Value","Total","Percentage","Units",,92,
"Belgium","Quality of support network","Value","Total","Percentage","Units",,90,
"Canada","Quality of support network","Value","Total","Percentage","Units",,93,
"Czech Republic","Quality of support network","Value","Total","Percentage","Units",,96,
"Denmark","Quality of support network","Value","Total","Percentage","Units",,95,
"Finland","Quality of support network","Value","Total","Percentage","Units",,96,
"France","Quality of support network","Value","Total","Percentage","Units",,94,
"Germany","Quality of support network","Value","Total","Percentage","Units",,90,
"Greece","Quality of support network","Value","Total","Percentage","Units",,78,
"Hungary","Quality of support network","Value","Total","Percentage","Units",,94,
"Iceland","Quality of support network","Value","Total","Percentage","Units",,98,
"Ireland","Quality of support network","Value","Total","Percentage","Units",,96,
"Italy","Quality of support network","Value","Total","Percentage","Units",,89,
"Japan","Quality of support network","Value","Total","Percentage","Units",,89,
"Korea","Quality of support network","Value","Total","Percentage","Units",,80,
"Luxembourg","Quality of support network","Value","Total","Percentage","Units",,91,
"Mexico","Quality of support network","Value","Total","Percentage","Units",,77,
"Netherlands","Quality of support network","Value","Total","Percentage","Units",,94,
"New Zealand","Quality of support network","Value","Total","Percentage","Units",,95,
"Norway","Quality of support network","Value","Total","Percentage","Units",,96,
"Poland","Quality of support network","Value","Total","Percentage","Units",,94,
"Portugal","Quality of support network","Value","Total","Percentage","Units",,87,
"Slovak Republic","Quality of support network","Value","Total","Percentage","Units",,95,
"Spain","Quality of support network","Value","Total","Percentage","Units",,93,
"Sweden","Quality of support network","Value","Total","Percentage","Units",,94,
"Switzerland","Quality of support network","Value","Total","Percentage","Units",,94,
"Türkiye","Quality of support network","Value","Total","Percentage","Units",,85,
"United Kingdom","Quality of support network","Value","Total","Percentage","Units",,93,
"United States","Quality of support network","Value","Total","Percentage","Units",,94,
"Brazil","Quality of support network","Value","Total","Percentage","Units",,83,
"Chile","Quality of support network","Value","Total","Percentage","Units",,88,
"Estonia","Quality of support network","Value","Total","Percentage","Units",,95,
"Israel","Quality of support network","Value","Total","Percentage","Units",,95,
"Latvia","Quality of support network","Value","Total","Percentage","Units",,92,
"Russia","Quality of support network","Value","Total","Percentage","Units",,89,
"Slovenia","Quality of support network","Value","Total","Percentage","Units",,95,
"South Africa","Quality of support network","Value","Total","Percentage","Units",,89,
"OECD - Total","Quality of support network","Value","Total","Percentage","Units",,91,
"Australia","Quality of support network","Value","Men","Percentage","Units",,93,
"Austria","Quality of support network","Value","Men","Percentage","Units",,92,
"Belgium","Quality of support network","Value","Men","Percentage","Units",,92,
"Canada","Quality of support network","Value","Men","Percentage","Units",,93,
"Czech Republic","Quality of support network","Value","Men","Percentage","Units",,95,
"Denmark","Quality of support network","Value","Men","Percentage","Units",,93,
"Finland","Quality of support network","Value","Men","Percentage","Units",,94,
"France","Quality of support network","Value","Men","Percentage","Units",,92,
"Germany","Quality of support network","Value","Men","Percentage","Units",,91,
"Greece","Quality of support network","Value","Men","Percentage","Units",,77,
"Hungary","Quality of support network","Value","Men","Percentage","Units",,92,
"Iceland","Quality of support network","Value","Men","Percentage","Units",,99,
"Ireland","Quality of support network","Value","Men","Percentage","Units",,96,
"Italy","Quality of support network","Value","Men","Percentage","Units",,92,
"Japan","Quality of support network","Value","Men","Percentage","Units",,84,
"Korea","Quality of support network","Value","Men","Percentage","Units",,74,
"Luxembourg","Quality of support network","Value","Men","Percentage","Units",,91,
"Mexico","Quality of support network","Value","Men","Percentage","Units",,77,
"Netherlands","Quality of support network","Value","Men","Percentage","Units",,96,
"New Zealand","Quality of support network","Value","Men","Percentage","Units",,95,
"Norway","Quality of support network","Value","Men","Percentage","Units",,96,
"Poland","Quality of support network","Value","Men","Percentage","Units",,93,
"Portugal","Quality of support network","Value","Men","Percentage","Units",,88,
"Slovak Republic","Quality of support network","Value","Men","Percentage","Units",,94,
"Spain","Quality of support network","Value","Men","Percentage","Units",,93,
"Sweden","Quality of support network","Value","Men","Percentage","Units",,94,
"Switzerland","Quality of support network","Value","Men","Percentage","Units",,93,
"Türkiye","Quality of support network","Value","Men","Percentage","Units",,82,
"United Kingdom","Quality of support network","Value","Men","Percentage","Units",,89,
"United States","Quality of support network","Value","Men","Percentage","Units",,93,
"Brazil","Quality of support network","Value","Men","Percentage","Units",,86,
"Chile","Quality of support network","Value","Men","Percentage","Units",,88,
"Estonia","Quality of support network","Value","Men","Percentage","Units",,93,
"Israel","Quality of support network","Value","Men","Percentage","Units",,95,
"Latvia","Quality of support network","Value","Men","Percentage","Units",,89,
"Russia","Quality of support network","Value","Men","Percentage","Units",,88,
"Slovenia","Quality of support network","Value","Men","Percentage","Units",,95,
"South Africa","Quality of support network","Value","Men","Percentage","Units",,89,
"OECD - Total","Quality of support network","Value","Men","Percentage","Units",,90,
"Australia","Quality of support network","Value","Women","Percentage","Units",,94,
"Austria","Quality of support network","Value","Women","Percentage","Units",,93,
"Belgium","Quality of support network","Value","Women","Percentage","Units",,87,
"Canada","Quality of support network","Value","Women","Percentage","Units",,93,
"Czech Republic","Quality of support network","Value","Women","Percentage","Units",,97,
"Denmark","Quality of support network","Value","Women","Percentage","Units",,97,
"Finland","Quality of support network","Value","Women","Percentage","Units",,98,
"France","Quality of support network","Value","Women","Percentage","Units",,96,
"Germany","Quality of support network","Value","Women","Percentage","Units",,89,
"Greece","Quality of support network","Value","Women","Percentage","Units",,79,
"Hungary","Quality of support network","Value","Women","Percentage","Units",,96,
"Iceland","Quality of support network","Value","Women","Percentage","Units",,98,
"Ireland","Quality of support network","Value","Women","Percentage","Units",,96,
"Italy","Quality of support network","Value","Women","Percentage","Units",,86,
"Japan","Quality of support network","Value","Women","Percentage","Units",,93,
"Korea","Quality of support network","Value","Women","Percentage","Units",,86,
"Luxembourg","Quality of support network","Value","Women","Percentage","Units",,91,
"Mexico","Quality of support network","Value","Women","Percentage","Units",,76,
"Netherlands","Quality of support network","Value","Women","Percentage","Units",,92,
"New Zealand","Quality of support network","Value","Women","Percentage","Units",,95,
"Norway","Quality of support network","Value","Women","Percentage","Units",,96,
"Poland","Quality of support network","Value","Women","Percentage","Units",,95,
"Portugal","Quality of support network","Value","Women","Percentage","Units",,86,
"Slovak Republic","Quality of support network","Value","Women","Percentage","Units",,95,
"Spain","Quality of support network","Value","Women","Percentage","Units",,94,
"Sweden","Quality of support network","Value","Women","Percentage","Units",,93,
"Switzerland","Quality of support network","Value","Women","Percentage","Units",,95,
"Türkiye","Quality of support network","Value","Women","Percentage","Units",,88,
"United Kingdom","Quality of support network","Value","Women","Percentage","Units",,96,
"United States","Quality of support network","Value","Women","Percentage","Units",,94,
"Brazil","Quality of support network","Value","Women","Percentage","Units",,80,
"Chile","Quality of support network","Value","Women","Percentage","Units",,88,
"Estonia","Quality of support network","Value","Women","Percentage","Units",,97,
"Israel","Quality of support network","Value","Women","Percentage","Units",,96,
"Latvia","Quality of support network","Value","Women","Percentage","Units",,94,
"Russia","Quality of support network","Value","Women","Percentage","Units",,89,
"Slovenia","Quality of support network","Value","Women","Percentage","Units",,95,
"South Africa","Quality of support network","Value","Women","Percentage","Units",,89,
"OECD - Total","Quality of support network","Value","Women","Percentage","Units",,92,
"Australia","Educational attainment","Value","Total","Percentage","Units",,84,
"Austria","Educational attainment","Value","Total","Percentage","Units",,86,
"Belgium","Educational attainment","Value","Total","Percentage","Units",,80,
"Canada","Educational attainment","Value","Total","Percentage","Units",,92,
"Czech Republic","Educational attainment","Value","Total","Percentage","Units",,94,
"Denmark","Educational attainment","Value","Total","Percentage","Units",,82,
"Finland","Educational attainment","Value","Total","Percentage","Units",,91,
"France","Educational attainment","Value","Total","Percentage","Units",,81,
"Germany","Educational attainment","Value","Total","Percentage","Units",,86,
"Greece","Educational attainment","Value","Total","Percentage","Units",,76,
"Hungary","Educational attainment","Value","Total","Percentage","Units",,86,
"Iceland","Educational attainment","Value","Total","Percentage","Units",,76,
"Ireland","Educational attainment","Value","Total","Percentage","Units",,85,
"Italy","Educational attainment","Value","Total","Percentage","Units",,63,
"Korea","Educational attainment","Value","Total","Percentage","Units",,89,
"Luxembourg","Educational attainment","Value","Total","Percentage","Units",,74,
"Mexico","Educational attainment","Value","Total","Percentage","Units",,42,
"Netherlands","Educational attainment","Value","Total","Percentage","Units",,81,
"New Zealand","Educational attainment","Value","Total","Percentage","Units",,81,
"Norway","Educational attainment","Value","Total","Percentage","Units",,82,
"Poland","Educational attainment","Value","Total","Percentage","Units",,93,
"Portugal","Educational attainment","Value","Total","Percentage","Units",,55,
"Slovak Republic","Educational attainment","Value","Total","Percentage","Units",,92,
"Spain","Educational attainment","Value","Total","Percentage","Units",,63,
"Sweden","Educational attainment","Value","Total","Percentage","Units",,84,
"Switzerland","Educational attainment","Value","Total","Percentage","Units",,89,
"Türkiye","Educational attainment","Value","Total","Percentage","Units",,42,
"United Kingdom","Educational attainment","Value","Total","Percentage","Units",,82,
"United States","Educational attainment","Value","Total","Percentage","Units",,92,
"Brazil","Educational attainment","Value","Total","Percentage","Units",,57,
"Chile","Educational attainment","Value","Total","Percentage","Units",,67,
"Estonia","Educational attainment","Value","Total","Percentage","Units",,91,
"Israel","Educational attainment","Value","Total","Percentage","Units",,88,
"Latvia","Educational attainment","Value","Total","Percentage","Units",,89,
"Russia","Educational attainment","Value","Total","Percentage","Units",,95,
"Slovenia","Educational attainment","Value","Total","Percentage","Units",,90,
"South Africa","Educational attainment","Value","Total","Percentage","Units",,48,
"OECD - Total","Educational attainment","Value","Total","Percentage","Units",,79,
"Australia","Educational attainment","Value","Men","Percentage","Units",,84,
"Austria","Educational attainment","Value","Men","Percentage","Units",,88,
"Belgium","Educational attainment","Value","Men","Percentage","Units",,78,
"Canada","Educational attainment","Value","Men","Percentage","Units",,91,
"Czech Republic","Educational attainment","Value","Men","Percentage","Units",,95,
"Denmark","Educational attainment","Value","Men","Percentage","Units",,80,
"Finland","Educational attainment","Value","Men","Percentage","Units",,89,
"France","Educational attainment","Value","Men","Percentage","Units",,81,
"Germany","Educational attainment","Value","Men","Percentage","Units",,87,
"Greece","Educational attainment","Value","Men","Percentage","Units",,75,
"Hungary","Educational attainment","Value","Men","Percentage","Units",,87,
"Iceland","Educational attainment","Value","Men","Percentage","Units",,74,
"Ireland","Educational attainment","Value","Men","Percentage","Units",,83,
"Italy","Educational attainment","Value","Men","Percentage","Units",,61,
"Korea","Educational attainment","Value","Men","Percentage","Units",,92,
"Luxembourg","Educational attainment","Value","Men","Percentage","Units",,74,
"Mexico","Educational attainment","Value","Men","Percentage","Units",,42,
"Netherlands","Educational attainment","Value","Men","Percentage","Units",,81,
"New Zealand","Educational attainment","Value","Men","Percentage","Units",,80,
"Norway","Educational attainment","Value","Men","Percentage","Units",,82,
"Poland","Educational attainment","Value","Men","Percentage","Units",,93,
"Portugal","Educational attainment","Value","Men","Percentage","Units",,52,
"Slovak Republic","Educational attainment","Value","Men","Percentage","Units",,93,
"Spain","Educational attainment","Value","Men","Percentage","Units",,60,
"Sweden","Educational attainment","Value","Men","Percentage","Units",,83,
"Switzerland","Educational attainment","Value","Men","Percentage","Units",,90,
"Türkiye","Educational attainment","Value","Men","Percentage","Units",,45,
"United Kingdom","Educational attainment","Value","Men","Percentage","Units",,81,
"United States","Educational attainment","Value","Men","Percentage","Units",,91,
"Brazil","Educational attainment","Value","Men","Percentage","Units",,53,
"Chile","Educational attainment","Value","Men","Percentage","Units",,67,
"Estonia","Educational attainment","Value","Men","Percentage","Units",,87,
"Israel","Educational attainment","Value","Men","Percentage","Units",,87,
"Latvia","Educational attainment","Value","Men","Percentage","Units",,86,
"Russia","Educational attainment","Value","Men","Percentage","Units",,94,
"Slovenia","Educational attainment","Value","Men","Percentage","Units",,91,
"South Africa","Educational attainment","Value","Men","Percentage","Units",,48,
"OECD - Total","Educational attainment","Value","Men","Percentage","Units",,78,
"Australia","Educational attainment","Value","Women","Percentage","Units",,84,
"Austria","Educational attainment","Value","Women","Percentage","Units",,83,
"Belgium","Educational attainment","Value","Women","Percentage","Units",,81,
"Canada","Educational attainment","Value","Women","Percentage","Units",,94,
"Czech Republic","Educational attainment","Value","Women","Percentage","Units",,93,
